bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
30,72,2880,1568,77,30,0,0,2,4.41
2,72,2880,1568,77,30,0,0,3,2.68
3,72,2880,1568,77,30,0,0,3,2.94
4,72,2880,1568,77,30,0,0,3,3.19
5,72,2880,1568,77,30,0,0,3,3.43
6,72,2880,1568,77,30,0,0,3,3.65
7,72,2880,1568,77,30,0,0,3,3.85
8,72,2880,1568,77,30,0,0,3,4.04
9,72,2880,1568,77,30,0,0,3,4.21
10,72,2880,1568,77,30,0,0,3,4.37
11,72,2880,1568,77,30,0,0,3,4.52
12,72,2880,1568,77,30,0,0,3,4.65
13,72,2880,1568,77,30,0,0,3,4.76
14,72,2880,1568,77,30,0,0,3,4.86
15,72,2880,1568,77,30,0,0,3,4.94
16,72,2880,1568,77,30,0,0,3,5.01
17,72,2880,1568,77,30,0,0,3,5.06
18,72,2880,1568,77,30,0,0,3,5.1
19,72,2880,1568,77,30,0,0,3,5.13
20,72,2880,1568,77,30,0,0,3,5.13
21,72,2880,1568,77,30,0,0,3,5.13
22,72,2880,1568,77,30,0,0,3,5.11
23,72,2880,1568,77,30,0,0,3,5.07
24,72,2880,1568,77,30,0,0,3,5.02
25,72,2880,1568,77,30,0,0,3,4.95
26,72,2880,1568,77,30,0,0,3,4.87
27,72,2880,1568,77,30,0,0,3,4.77
28,72,2880,1568,77,30,0,0,3,4.66
29,72,2880,1568,77,30,0,0,3,4.53
30,72,2880,1568,77,30,0,0,3,4.39
2,72,2880,1568,77,30,0,1,1,2.75
3,72,2880,1568,77,30,0,1,1,3.03
4,72,2880,1568,77,30,0,1,1,3.29
5,72,2880,1568,77,30,0,1,1,3.54
6,72,2880,1568,77,30,0,1,1,3.77
7,72,2880,1568,77,30,0,1,1,3.98
8,72,2880,1568,77,30,0,1,1,4.18
9,72,2880,1568,77,30,0,1,1,4.36
10,72,2880,1568,77,30,0,1,1,4.53
11,72,2880,1568,77,30,0,1,1,4.68
12,72,2880,1568,77,30,0,1,1,4.82
13,72,2880,1568,77,30,0,1,1,4.94
14,72,2880,1568,77,30,0,1,1,5.04
15,72,2880,1568,77,30,0,1,1,5.13
16,72,2880,1568,77,30,0,1,1,5.2
17,72,2880,1568,77,30,0,1,1,5.26
18,72,2880,1568,77,30,0,1,1,5.3
19,72,2880,1568,77,30,0,1,1,5.32
20,72,2880,1568,77,30,0,1,1,5.33
21,72,2880,1568,77,30,0,1,1,5.33
22,72,2880,1568,77,30,0,1,1,5.3
23,72,2880,1568,77,30,0,1,1,5.27
24,72,2880,1568,77,30,0,1,1,5.21
25,72,2880,1568,77,30,0,1,1,5.14
26,72,2880,1568,77,30,0,1,1,5.06
27,72,2880,1568,77,30,0,1,1,4.95
28,72,2880,1568,77,30,0,1,1,4.84
29,72,2880,1568,77,30,0,1,1,4.7
30,72,2880,1568,77,30,0,1,1,4.56
2,72,2880,1568,77,30,0,1,2,2.78
3,72,2880,1568,77,30,0,1,2,3.06
4,72,2880,1568,77,30,0,1,2,3.33
5,72,2880,1568,77,30,0,1,2,3.58
6,72,2880,1568,77,30,0,1,2,3.81
7,72,2880,1568,77,30,0,1,2,4.03
8,72,2880,1568,77,30,0,1,2,4.23
9,72,2880,1568,77,30,0,1,2,4.42
10,72,2880,1568,77,30,0,1,2,4.59
11,72,2880,1568,77,30,0,1,2,4.74
12,72,2880,1568,77,30,0,1,2,4.88
13,72,2880,1568,77,30,0,1,2,5.0
14,72,2880,1568,77,30,0,1,2,5.1
15,72,2880,1568,77,30,0,1,2,5.19
16,72,2880,1568,77,30,0,1,2,5.27
17,72,2880,1568,77,30,0,1,2,5.32
18,72,2880,1568,77,30,0,1,2,5.36
19,72,2880,1568,77,30,0,1,2,5.39
20,72,2880,1568,77,30,0,1,2,5.4
21,72,2880,1568,77,30,0,1,2,5.39
22,72,2880,1568,77,30,0,1,2,5.37
23,72,2880,1568,77,30,0,1,2,5.33
24,72,2880,1568,77,30,0,1,2,5.28
25,72,2880,1568,77,30,0,1,2,5.2
26,72,2880,1568,77,30,0,1,2,5.12
27,72,2880,1568,77,30,0,1,2,5.02
28,72,2880,1568,77,30,0,1,2,4.9
29,72,2880,1568,77,30,0,1,2,4.76
30,72,2880,1568,77,30,0,1,2,4.61
2,72,2880,1568,77,30,0,1,3,2.74
3,72,2880,1568,77,30,0,1,3,3.01
4,72,2880,1568,77,30,0,1,3,3.27
5,72,2880,1568,77,30,0,1,3,3.51
6,72,2880,1568,77,30,0,1,3,3.74
7,72,2880,1568,77,30,0,1,3,3.95
8,72,2880,1568,77,30,0,1,3,4.14
9,72,2880,1568,77,30,0,1,3,4.32
10,72,2880,1568,77,30,0,1,3,4.48
11,72,2880,1568,77,30,0,1,3,4.63
12,72,2880,1568,77,30,0,1,3,4.76
