bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
22,72,2880,1568,77,30,0,0,1,3.77
23,72,2880,1568,77,30,0,0,1,3.76
24,72,2880,1568,77,30,0,0,1,3.75
25,72,2880,1568,77,30,0,0,1,3.74
26,72,2880,1568,77,30,0,0,1,3.73
27,72,2880,1568,77,30,0,0,1,3.71
28,72,2880,1568,77,30,0,0,1,3.68
29,72,2880,1568,77,30,0,0,1,3.66
30,72,2880,1568,77,30,0,0,1,3.63
2,72,2880,1568,77,30,0,0,2,3.29
3,72,2880,1568,77,30,0,0,2,3.35
4,72,2880,1568,77,30,0,0,2,3.41
5,72,2880,1568,77,30,0,0,2,3.47
6,72,2880,1568,77,30,0,0,2,3.52
7,72,2880,1568,77,30,0,0,2,3.57
8,72,2880,1568,77,30,0,0,2,3.62
9,72,2880,1568,77,30,0,0,2,3.66
10,72,2880,1568,77,30,0,0,2,3.7
11,72,2880,1568,77,30,0,0,2,3.74
12,72,2880,1568,77,30,0,0,2,3.77
13,72,2880,1568,77,30,0,0,2,3.8
14,72,2880,1568,77,30,0,0,2,3.82
15,72,2880,1568,77,30,0,0,2,3.85
16,72,2880,1568,77,30,0,0,2,3.86
17,72,2880,1568,77,30,0,0,2,3.88
18,72,2880,1568,77,30,0,0,2,3.89
19,72,2880,1568,77,30,0,0,2,3.9
20,72,2880,1568,77,30,0,0,2,3.9
21,72,2880,1568,77,30,0,0,2,3.9
22,72,2880,1568,77,30,0,0,2,3.9
23,72,2880,1568,77,30,0,0,2,3.89
24,72,2880,1568,77,30,0,0,2,3.88
25,72,2880,1568,77,30,0,0,2,3.87
26,72,2880,1568,77,30,0,0,2,3.85
27,72,2880,1568,77,30,0,0,2,3.83
28,72,2880,1568,77,30,0,0,2,3.81
29,72,2880,1568,77,30,0,0,2,3.78
30,72,2880,1568,77,30,0,0,2,3.75
2,72,2880,1568,77,30,0,0,3,3.3
3,72,2880,1568,77,30,0,0,3,3.37
4,72,2880,1568,77,30,0,0,3,3.43
5,72,2880,1568,77,30,0,0,3,3.49
6,72,2880,1568,77,30,0,0,3,3.54
7,72,2880,1568,77,30,0,0,3,3.59
8,72,2880,1568,77,30,0,0,3,3.64
9,72,2880,1568,77,30,0,0,3,3.68
10,72,2880,1568,77,30,0,0,3,3.72
11,72,2880,1568,77,30,0,0,3,3.76
12,72,2880,1568,77,30,0,0,3,3.79
13,72,2880,1568,77,30,0,0,3,3.82
14,72,2880,1568,77,30,0,0,3,3.85
15,72,2880,1568,77,30,0,0,3,3.87
16,72,2880,1568,77,30,0,0,3,3.89
17,72,2880,1568,77,30,0,0,3,3.9
18,72,2880,1568,77,30,0,0,3,3.91
19,72,2880,1568,77,30,0,0,3,3.92
20,72,2880,1568,77,30,0,0,3,3.92
21,72,2880,1568,77,30,0,0,3,3.92
22,72,2880,1568,77,30,0,0,3,3.92
23,72,2880,1568,77,30,0,0,3,3.91
24,72,2880,1568,77,30,0,0,3,3.9
25,72,2880,1568,77,30,0,0,3,3.89
26,72,2880,1568,77,30,0,0,3,3.87
27,72,2880,1568,77,30,0,0,3,3.85
28,72,2880,1568,77,30,0,0,3,3.82
29,72,2880,1568,77,30,0,0,3,3.79
30,72,2880,1568,77,30,0,0,3,3.76
2,72,2880,1568,77,30,0,1,1,3.52
3,72,2880,1568,77,30,0,1,1,3.59
4,72,2880,1568,77,30,0,1,1,3.66
5,72,2880,1568,77,30,0,1,1,3.72
6,72,2880,1568,77,30,0,1,1,3.78
7,72,2880,1568,77,30,0,1,1,3.84
8,72,2880,1568,77,30,0,1,1,3.89
9,72,2880,1568,77,30,0,1,1,3.94
10,72,2880,1568,77,30,0,1,1,3.98
11,72,2880,1568,77,30,0,1,1,4.02
12,72,2880,1568,77,30,0,1,1,4.06
13,72,2880,1568,77,30,0,1,1,4.09
14,72,2880,1568,77,30,0,1,1,4.12
15,72,2880,1568,77,30,0,1,1,4.14
16,72,2880,1568,77,30,0,1,1,4.16
17,72,2880,1568,77,30,0,1,1,4.18
18,72,2880,1568,77,30,0,1,1,4.19
19,72,2880,1568,77,30,0,1,1,4.2
20,72,2880,1568,77,30,0,1,1,4.21
21,72,2880,1568,77,30,0,1,1,4.21
22,72,2880,1568,77,30,0,1,1,4.21
23,72,2880,1568,77,30,0,1,1,4.2
24,72,2880,1568,77,30,0,1,1,4.19
25,72,2880,1568,77,30,0,1,1,4.17
26,72,2880,1568,77,30,0,1,1,4.15
27,72,2880,1568,77,30,0,1,1,4.13
28,72,2880,1568,77,30,0,1,1,4.11
29,72,2880,1568,77,30,0,1,1,4.07
30,72,2880,1568,77,30,0,1,1,4.04
2,72,2880,1568,77,30,0,1,2,3.59
3,72,2880,1568,77,30,0,1,2,3.66
4,72,2880,1568,77,30,0,1,2,3.73
5,72,2880,1568,77,30,0,1,2,3.8
6,72,2880,1568,77,30,0,1,2,3.86
7,72,2880,1568,77,30,0,1,2,3.92
8,72,2880,1568,77,30,0,1,2,3.97
9,72,2880,1568,77,30,0,1,2,4.02
10,72,2880,1568,77,30,0,1,2,4.06
11,72,2880,1568,77,30,0,1,2,4.11
12,72,2880,1568,77,30,0,1,2,4.14
13,72,2880,1568,77,30,0,1,2,4.18
14,72,2880,1568,77,30,0,1,2,4.21
15,72,2880,1568,77,30,0,1,2,4.23
16,72,2880,1568,77,30,0,1,2,4.25
17,72,2880,1568,77,30,0,1,2,4.27
18,72,2880,1568,77,30,0,1,2,4.29
19,72,2880,1568,77,30,0,1,2,4.3
20,72,2880,1568,77,30,0,1,2,4.3
21,72,2880,1568,77,30,0,1,2,4.3
22,72,2880,1568,77,30,0,1,2,4.3
23,72,2880,1568,77,30,0,1,2,4.29
24,72,2880,1568,77,30,0,1,2,4.28
25,72,2880,1568,77,30,0,1,2,4.27
26,72,2880,1568,77,30,0,1,2,4.25
27,72,2880,1568,77,30,0,1,2,4.23
28,72,2880,1568,77,30,0,1,2,4.2
29,72,2880,1568,77,30,0,1,2,4.17
30,72,2880,1568,77,30,0,1,2,4.14
2,72,2880,1568,77,30,0,1,3,3.55
3,72,2880,1568,77,30,0,1,3,3.62
4,72,2880,1568,77,30,0,1,3,3.69
5,72,2880,1568,77,30,0,1,3,3.76
6,72,2880,1568,77,30,0,1,3,3.82
7,72,2880,1568,77,30,0,1,3,3.88
8,72,2880,1568,77,30,0,1,3,3.93
9,72,2880,1568,77,30,0,1,3,3.98
10,72,2880,1568,77,30,0,1,3,4.02
11,72,2880,1568,77,30,0,1,3,4.07
12,72,2880,1568,77,30,0,1,3,4.1
