bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,pred
21,72,2880,1568,77,21,0,1,3,4.91
2,72,2880,1568,77,26,0,0,1,3.2
3,72,2880,1568,77,26,0,0,1,3.36
4,72,2880,1568,77,26,0,0,1,3.51
5,72,2880,1568,77,26,0,0,1,3.65
6,72,2880,1568,77,26,0,0,1,3.78
7,72,2880,1568,77,26,0,0,1,3.91
8,72,2880,1568,77,26,0,0,1,4.02
9,72,2880,1568,77,26,0,0,1,4.13
10,72,2880,1568,77,26,0,0,1,4.22
11,72,2880,1568,77,26,0,0,1,4.31
12,72,2880,1568,77,26,0,0,1,4.39
13,72,2880,1568,77,26,0,0,1,4.46
14,72,2880,1568,77,26,0,0,1,4.52
15,72,2880,1568,77,26,0,0,1,4.57
16,72,2880,1568,77,26,0,0,1,4.61
17,72,2880,1568,77,26,0,0,1,4.65
18,72,2880,1568,77,26,0,0,1,4.67
19,72,2880,1568,77,26,0,0,1,4.69
20,72,2880,1568,77,26,0,0,1,4.7
21,72,2880,1568,77,26,0,0,1,4.7
22,72,2880,1568,77,26,0,0,1,4.68
23,72,2880,1568,77,26,0,0,1,4.67
24,72,2880,1568,77,26,0,0,1,4.64
25,72,2880,1568,77,26,0,0,1,4.6
26,72,2880,1568,77,26,0,0,1,4.55
2,72,2880,1568,77,26,0,0,2,3.22
3,72,2880,1568,77,26,0,0,2,3.38
4,72,2880,1568,77,26,0,0,2,3.53
5,72,2880,1568,77,26,0,0,2,3.66
6,72,2880,1568,77,26,0,0,2,3.8
7,72,2880,1568,77,26,0,0,2,3.92
8,72,2880,1568,77,26,0,0,2,4.03
9,72,2880,1568,77,26,0,0,2,4.13
10,72,2880,1568,77,26,0,0,2,4.23
11,72,2880,1568,77,26,0,0,2,4.32
12,72,2880,1568,77,26,0,0,2,4.39
13,72,2880,1568,77,26,0,0,2,4.46
14,72,2880,1568,77,26,0,0,2,4.52
15,72,2880,1568,77,26,0,0,2,4.58
16,72,2880,1568,77,26,0,0,2,4.62
17,72,2880,1568,77,26,0,0,2,4.65
18,72,2880,1568,77,26,0,0,2,4.68
19,72,2880,1568,77,26,0,0,2,4.69
20,72,2880,1568,77,26,0,0,2,4.7
21,72,2880,1568,77,26,0,0,2,4.7
22,72,2880,1568,77,26,0,0,2,4.69
23,72,2880,1568,77,26,0,0,2,4.67
24,72,2880,1568,77,26,0,0,2,4.65
25,72,2880,1568,77,26,0,0,2,4.61
26,72,2880,1568,77,26,0,0,2,4.56
2,72,2880,1568,77,26,0,0,3,3.2
