bitrate,framerate,width,height,latency,throughput,packetloss,vr_exp,gaming_freq,SI,TI,pred
9,72,2880,1568,77,18,0,0,3,45.27,37.92,4.0
10,72,2880,1568,77,18,0,0,3,45.27,37.92,4.01
11,72,2880,1568,77,18,0,0,3,45.27,37.92,4.01
12,72,2880,1568,77,18,0,0,3,45.27,37.92,4.02
13,72,2880,1568,77,18,0,0,3,45.27,37.92,4.02
14,72,2880,1568,77,18,0,0,3,45.27,37.92,4.03
15,72,2880,1568,77,18,0,0,3,45.27,37.92,4.03
16,72,2880,1568,77,18,0,0,3,45.27,37.92,4.04
17,72,2880,1568,77,18,0,0,3,45.27,37.92,4.04
18,72,2880,1568,77,18,0,0,3,45.27,37.92,4.05
2,72,2880,1568,77,18,0,1,1,35.72,24.41,4.03
3,72,2880,1568,77,18,0,1,1,35.72,24.41,4.03
4,72,2880,1568,77,18,0,1,1,35.72,24.41,4.04
5,72,2880,1568,77,18,0,1,1,35.72,24.41,4.04
6,72,2880,1568,77,18,0,1,1,35.72,24.41,4.05
7,72,2880,1568,77,18,0,1,1,35.72,24.41,4.05
8,72,2880,1568,77,18,0,1,1,35.72,24.41,4.06
9,72,2880,1568,77,18,0,1,1,35.72,24.41,4.07
10,72,2880,1568,77,18,0,1,1,35.72,24.41,4.07
11,72,2880,1568,77,18,0,1,1,35.72,24.41,4.08
12,72,2880,1568,77,18,0,1,1,35.72,24.41,4.08
13,72,2880,1568,77,18,0,1,1,35.72,24.41,4.09
14,72,2880,1568,77,18,0,1,1,35.72,24.41,4.1
15,72,2880,1568,77,18,0,1,1,35.72,24.41,4.1
16,72,2880,1568,77,18,0,1,1,35.72,24.41,4.11
17,72,2880,1568,77,18,0,1,1,35.72,24.41,4.12
18,72,2880,1568,77,18,0,1,1,35.72,24.41,4.12
2,72,2880,1568,77,18,0,1,1,48.04,40.5,4.04
3,72,2880,1568,77,18,0,1,1,48.04,40.5,4.04
4,72,2880,1568,77,18,0,1,1,48.04,40.5,4.04
5,72,2880,1568,77,18,0,1,1,48.04,40.5,4.04
6,72,2880,1568,77,18,0,1,1,48.04,40.5,4.05
7,72,2880,1568,77,18,0,1,1,48.04,40.5,4.05
8,72,2880,1568,77,18,0,1,1,48.04,40.5,4.05
9,72,2880,1568,77,18,0,1,1,48.04,40.5,4.05
10,72,2880,1568,77,18,0,1,1,48.04,40.5,4.06
11,72,2880,1568,77,18,0,1,1,48.04,40.5,4.06
12,72,2880,1568,77,18,0,1,1,48.04,40.5,4.06
13,72,2880,1568,77,18,0,1,1,48.04,40.5,4.07
14,72,2880,1568,77,18,0,1,1,48.04,40.5,4.07
15,72,2880,1568,77,18,0,1,1,48.04,40.5,4.07
16,72,2880,1568,77,18,0,1,1,48.04,40.5,4.08
17,72,2880,1568,77,18,0,1,1,48.04,40.5,4.08
18,72,2880,1568,77,18,0,1,1,48.04,40.5,4.09
2,72,2880,1568,77,18,0,1,1,45.27,37.92,4.1
3,72,2880,1568,77,18,0,1,1,45.27,37.92,4.1
4,72,2880,1568,77,18,0,1,1,45.27,37.92,4.11
5,72,2880,1568,77,18,0,1,1,45.27,37.92,4.11
6,72,2880,1568,77,18,0,1,1,45.27,37.92,4.11
7,72,2880,1568,77,18,0,1,1,45.27,37.92,4.12
8,72,2880,1568,77,18,0,1,1,45.27,37.92,4.12
9,72,2880,1568,77,18,0,1,1,45.27,37.92,4.12
10,72,2880,1568,77,18,0,1,1,45.27,37.92,4.13
11,72,2880,1568,77,18,0,1,1,45.27,37.92,4.13
12,72,2880,1568,77,18,0,1,1,45.27,37.92,4.14
13,72,2880,1568,77,18,0,1,1,45.27,37.92,4.14
14,72,2880,1568,77,18,0,1,1,45.27,37.92,4.15
15,72,2880,1568,77,18,0,1,1,45.27,37.92,4.15
16,72,2880,1568,77,18,0,1,1,45.27,37.92,4.16
17,72,2880,1568,77,18,0,1,1,45.27,37.92,4.17
18,72,2880,1568,77,18,0,1,1,45.27,37.92,4.17
2,72,2880,1568,77,18,0,1,2,35.72,24.41,4.03
3,72,2880,1568,77,18,0,1,2,35.72,24.41,4.03
4,72,2880,1568,77,18,0,1,2,35.72,24.41,4.04
5,72,2880,1568,77,18,0,1,2,35.72,24.41,4.04
6,72,2880,1568,77,18,0,1,2,35.72,24.41,4.05
7,72,2880,1568,77,18,0,1,2,35.72,24.41,4.05
8,72,2880,1568,77,18,0,1,2,35.72,24.41,4.06
9,72,2880,1568,77,18,0,1,2,35.72,24.41,4.07
10,72,2880,1568,77,18,0,1,2,35.72,24.41,4.07
11,72,2880,1568,77,18,0,1,2,35.72,24.41,4.08
12,72,2880,1568,77,18,0,1,2,35.72,24.41,4.08
13,72,2880,1568,77,18,0,1,2,35.72,24.41,4.09
14,72,2880,1568,77,18,0,1,2,35.72,24.41,4.1
15,72,2880,1568,77,18,0,1,2,35.72,24.41,4.1
16,72,2880,1568,77,18,0,1,2,35.72,24.41,4.11
17,72,2880,1568,77,18,0,1,2,35.72,24.41,4.12
18,72,2880,1568,77,18,0,1,2,35.72,24.41,4.12
2,72,2880,1568,77,18,0,1,2,48.04,40.5,4.03
3,72,2880,1568,77,18,0,1,2,48.04,40.5,4.03
4,72,2880,1568,77,18,0,1,2,48.04,40.5,4.04
5,72,2880,1568,77,18,0,1,2,48.04,40.5,4.04
6,72,2880,1568,77,18,0,1,2,48.04,40.5,4.04
7,72,2880,1568,77,18,0,1,2,48.04,40.5,4.05
8,72,2880,1568,77,18,0,1,2,48.04,40.5,4.05
9,72,2880,1568,77,18,0,1,2,48.04,40.5,4.05
10,72,2880,1568,77,18,0,1,2,48.04,40.5,4.06
11,72,2880,1568,77,18,0,1,2,48.04,40.5,4.06
12,72,2880,1568,77,18,0,1,2,48.04,40.5,4.07
13,72,2880,1568,77,18,0,1,2,48.04,40.5,4.07
14,72,2880,1568,77,18,0,1,2,48.04,40.5,4.07
15,72,2880,1568,77,18,0,1,2,48.04,40.5,4.08
16,72,2880,1568,77,18,0,1,2,48.04,40.5,4.08
17,72,2880,1568,77,18,0,1,2,48.04,40.5,4.09
18,72,2880,1568,77,18,0,1,2,48.04,40.5,4.09
2,72,2880,1568,77,18,0,1,2,45.27,37.92,4.08
3,72,2880,1568,77,18,0,1,2,45.27,37.92,4.08
4,72,2880,1568,77,18,0,1,2,45.27,37.92,4.09
5,72,2880,1568,77,18,0,1,2,45.27,37.92,4.09
6,72,2880,1568,77,18,0,1,2,45.27,37.92,4.09
7,72,2880,1568,77,18,0,1,2,45.27,37.92,4.1
8,72,2880,1568,77,18,0,1,2,45.27,37.92,4.1
9,72,2880,1568,77,18,0,1,2,45.27,37.92,4.1
10,72,2880,1568,77,18,0,1,2,45.27,37.92,4.11
11,72,2880,1568,77,18,0,1,2,45.27,37.92,4.11
12,72,2880,1568,77,18,0,1,2,45.27,37.92,4.12
13,72,2880,1568,77,18,0,1,2,45.27,37.92,4.12
14,72,2880,1568,77,18,0,1,2,45.27,37.92,4.13
15,72,2880,1568,77,18,0,1,2,45.27,37.92,4.13
16,72,2880,1568,77,18,0,1,2,45.27,37.92,4.14
17,72,2880,1568,77,18,0,1,2,45.27,37.92,4.15
18,72,2880,1568,77,18,0,1,2,45.27,37.92,4.15
2,72,2880,1568,77,18,0,1,3,35.72,24.41,4.07
3,72,2880,1568,77,18,0,1,3,35.72,24.41,4.07
4,72,2880,1568,77,18,0,1,3,35.72,24.41,4.08
5,72,2880,1568,77,18,0,1,3,35.72,24.41,4.08
6,72,2880,1568,77,18,0,1,3,35.72,24.41,4.08
7,72,2880,1568,77,18,0,1,3,35.72,24.41,4.09
8,72,2880,1568,77,18,0,1,3,35.72,24.41,4.09
9,72,2880,1568,77,18,0,1,3,35.72,24.41,4.09
10,72,2880,1568,77,18,0,1,3,35.72,24.41,4.1
11,72,2880,1568,77,18,0,1,3,35.72,24.41,4.1
12,72,2880,1568,77,18,0,1,3,35.72,24.41,4.11
13,72,2880,1568,77,18,0,1,3,35.72,24.41,4.12
14,72,2880,1568,77,18,0,1,3,35.72,24.41,4.12
